Character,Description
Alistair,Grey Warden warrior with royal lineage and a strong moral compass.
Morrigan,Apostate mage and daughter of Flemeth known for her pragmatic worldview.
Leliana,Former bard turned Chantry lay sister and skilled rogue.
Sten,Stoic Qunari warrior of the Beresaad seeking redemption.
Oghren,Dwarven berserker warrior and former member of House Kondrat.
Wynne,Senior Circle mage and compassionate healer.
Zevran Arainai,Antivan Crow assassin with charm and deadly precision.
Loghain Mac Tir,Fereldan general whose actions spark the events of the Fifth Blight.
Anders,Apostate mage merged with the spirit Justice fighting for mage freedom.
Justice,A Fade spirit inhabiting a Grey Warden's corpse embodying righteous purpose.
Nathaniel Howe,Rogue seeking redemption from his family's disgraced legacy.
Sigrun,Cheerful dwarven rogue from the Legion of the Dead.
Velanna,Dalish elf mage driven by loyalty to her people.
Merrill,Dalish elf mage fascinated with ancient elven lore and blood magic.
Isabela,Free-spirited pirate captain and expert duelist.
Carver Hawke,Hawke's younger brother a warrior seeking his own path.
Bethany Hawke,Hawke's younger sister and a gentle Circle mage.
The Inquisitor,Leader of the Inquisition chosen to close the Breach.
Cassandra Pentaghast,Seeker of Truth and founding member of the Inquisition.
Solas,Apostate mage with deep knowledge of the Fade and ancient elven history.
Vivienne,Ambitious Orlesian court enchanter and political strategist.
Iron Bull,Qunari mercenary and Ben-Hassrath agent leading the Chargers.
Blackwall,Grey Warden warrior hiding a troubled past.
Cole,Compassionate spirit taking human form.
Dorian Pavus,Tevinter mage challenging his homeland's traditions.
Josephine Montilyet,Antivan diplomat and ambassador of the Inquisition.
Cullen Rutherford,Military commander of the Inquisition and former templar.
Bellara Lutare,Dalish Veil Jumper mage fascinated with ancient elven artifacts.
Davrin,Grey Warden warrior accompanied by a griffon.
Emmrich Volkarin,Nevarran necromancer mage with scholarly interests.
Lace Harding,Former Inquisition scout turned Veilguard companion.
Lucanis Dellamorte,Elite Antivan Crow assassin with a complex legacy.
Taash,Qunari dragon hunter with a fierce and adventurous spirit.
